LocationID,Location Description,Location Groups,Community Area ID,Community Area,Major SubRegion,Major Region
1,ABANDONED BUILDING,Building,1,ROGERS PARK,Far North Side,North Side
12,AIRPORT TERMINAL UPPER LEVEL-NON-SECURE AREA,Air Travel,1,ROGERS PARK,Far North Side,North Side
17,ALLEY,Outside,1,ROGERS PARK,Far North Side,North Side
18,ANIMAL HOSPITAL,Business,1,ROGERS PARK,Far North Side,North Side
19,APARTMENT,Apartment,1,ROGERS PARK,Far North Side,North Side
20,APPLIANCE STORE,Business,1,ROGERS PARK,Far North Side,North Side
21,ATHLETIC CLUB,Business,1,ROGERS PARK,Far North Side,North Side
22,ATM (AUTOMATIC TELLER MACHINE),Outside,1,ROGERS PARK,Far North Side,North Side
23,AUTO,Transportation,1,ROGERS PARK,Far North Side,North Side
24,AUTO/BOAT/RV DEALERSHIP,Business,1,ROGERS PARK,Far North Side,North Side
25,BANK,Business,1,ROGERS PARK,Far North Side,North Side
27,BAR OR TAVERN,Business,1,ROGERS PARK,Far North Side,North Side
28,BARBERSHOP,Business,1,ROGERS PARK,Far North Side,North Side
35,CAR WASH,Business,1,ROGERS PARK,Far North Side,North Side
37,CHA APARTMENT,Apartment,1,ROGERS PARK,Far North Side,North Side
41,CHA HALLWAY/STAIRWELL/ELEVATOR,Building,1,ROGERS PARK,Far North Side,North Side
44,CHA PARKING LOT/GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
48,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Business,1,ROGERS PARK,Far North Side,North Side
50,CLEANING STORE,Business,1,ROGERS PARK,Far North Side,North Side
52,COIN OPERATED MACHINE,Business,1,ROGERS PARK,Far North Side,North Side
53,COLLEGE/UNIVERSITY GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
54,COLLEGE/UNIVERSITY RESIDENCE HALL,Apartment,1,ROGERS PARK,Far North Side,North Side
55,COMMERCIAL/BUSINESS OFFICE,Business,1,ROGERS PARK,Far North Side,North Side
56,CONSTRUCTION SITE,Business,1,ROGERS PARK,Far North Side,North Side
57,CONVENIENCE STORE,Business,1,ROGERS PARK,Far North Side,North Side
58,CREDIT UNION,Business,1,ROGERS PARK,Far North Side,North Side
61,CTA BUS,Transportation,1,ROGERS PARK,Far North Side,North Side
62,CTA BUS STOP,Transportation,1,ROGERS PARK,Far North Side,North Side
63,CTA GARAGE/OTHER PROPERTY,Transportation,1,ROGERS PARK,Far North Side,North Side
64,CTA PARKING LOT/GARAGE/OTHER PROPERTY,Transportation,1,ROGERS PARK,Far North Side,North Side
65,CTA PLATFORM,Transportation,1,ROGERS PARK,Far North Side,North Side
67,CTA STATION,Transportation,1,ROGERS PARK,Far North Side,North Side
68,CTA SUBWAY STATION,Transportation,1,ROGERS PARK,Far North Side,North Side
69,CTA TRACKS-RIGHT OF WAY,Transportation,1,ROGERS PARK,Far North Side,North Side
70,CTA TRAIN,Transportation,1,ROGERS PARK,Far North Side,North Side
71,CURRENCY EXCHANGE,Business,1,ROGERS PARK,Far North Side,North Side
72,DAY CARE CENTER,Business,1,ROGERS PARK,Far North Side,North Side
74,DEPARTMENT STORE,Business,1,ROGERS PARK,Far North Side,North Side
76,DRIVEWAY-RESIDENTIAL,Outside,1,ROGERS PARK,Far North Side,North Side
77,DRUG STORE,Business,1,ROGERS PARK,Far North Side,North Side
78,ELEVATOR,Building,1,ROGERS PARK,Far North Side,North Side
80,FACTORY/MANUFACTURING BUILDING,Business,1,ROGERS PARK,Far North Side,North Side
83,FIRE STATION,Business,1,ROGERS PARK,Far North Side,North Side
84,FOREST PRESERVE,Outside,1,ROGERS PARK,Far North Side,North Side
85,GANGWAY,Outside,1,ROGERS PARK,Far North Side,North Side
88,GAS STATION,Business,1,ROGERS PARK,Far North Side,North Side
91,GOVERNMENT BUILDING/PROPERTY,Business,1,ROGERS PARK,Far North Side,North Side
92,GROCERY FOOD STORE,Business,1,ROGERS PARK,Far North Side,North Side
97,HOSPITAL BUILDING/GROUNDS,Business,1,ROGERS PARK,Far North Side,North Side
99,HOTEL/MOTEL,Business,1,ROGERS PARK,Far North Side,North Side
100,HOUSE,Residence,1,ROGERS PARK,Far North Side,North Side
105,LAKEFRONT/WATERFRONT/RIVERBANK,Outside,1,ROGERS PARK,Far North Side,North Side
107,LIBRARY,Business,1,ROGERS PARK,Far North Side,North Side
109,MEDICAL/DENTAL OFFICE,Business,1,ROGERS PARK,Far North Side,North Side
111,MOVIE HOUSE/THEATER,Business,1,ROGERS PARK,Far North Side,North Side
112,NEWSSTAND,Outside,1,ROGERS PARK,Far North Side,North Side
114,NURSING HOME/RETIREMENT HOME,Business,1,ROGERS PARK,Far North Side,North Side
115,Not Specified,Not Specified,1,ROGERS PARK,Far North Side,North Side
117,OTHER,Other,1,ROGERS PARK,Far North Side,North Side
118,OTHER (SPECIFY),Other,1,ROGERS PARK,Far North Side,North Side
119,OTHER COMMERCIAL TRANSPORTATION,Transportation,1,ROGERS PARK,Far North Side,North Side
120,OTHER RAILROAD PROPERTY/TRAIN DEPOT,Transportation,1,ROGERS PARK,Far North Side,North Side
121,PARK PROPERTY,Outside,1,ROGERS PARK,Far North Side,North Side
122,PARKING LOT,Outside,1,ROGERS PARK,Far North Side,North Side
123,PARKING LOT/GARAGE (NON RESIDENTIAL),Outside,1,ROGERS PARK,Far North Side,North Side
124,PAWN SHOP,Business,1,ROGERS PARK,Far North Side,North Side
126,POLICE FACILITY/VEHICLE PARKING LOT,Business,1,ROGERS PARK,Far North Side,North Side
127,POOLROOM,Business,1,ROGERS PARK,Far North Side,North Side
128,PORCH,Residence,1,ROGERS PARK,Far North Side,North Side
131,RESIDENCE,Residence,1,ROGERS PARK,Far North Side,North Side
132,RESIDENCE-GARAGE,Residence,1,ROGERS PARK,Far North Side,North Side
133,RESIDENCE-PORCH/HALLWAY,Residence,1,ROGERS PARK,Far North Side,North Side
134,RESIDENCE-YARD (FRONT/BACK),Residence,1,ROGERS PARK,Far North Side,North Side
135,RESTAURANT,Business,1,ROGERS PARK,Far North Side,North Side
136,RETAIL STORE,Business,1,ROGERS PARK,Far North Side,North Side
140,SAVINGS AND LOAN,Business,1,ROGERS PARK,Far North Side,North Side
142,SCHOOL-PRIVATE BUILDING,Business,1,ROGERS PARK,Far North Side,North Side
143,SCHOOL-PRIVATE GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
144,SCHOOL-PUBLIC BUILDING,Business,1,ROGERS PARK,Far North Side,North Side
145,SCHOOL-PUBLIC GROUNDS,Outside,1,ROGERS PARK,Far North Side,North Side
146,SIDEWALK,Outside,1,ROGERS PARK,Far North Side,North Side
147,SMALL RETAIL STORE,Business,1,ROGERS PARK,Far North Side,North Side
148,SPORTS ARENA/STADIUM,Business,1,ROGERS PARK,Far North Side,North Side
149,STAIRWELL,Apartment,1,ROGERS PARK,Far North Side,North Side
150,STREET,Street,1,ROGERS PARK,Far North Side,North Side
152,TAVERN/LIQUOR STORE,Business,1,ROGERS PARK,Far North Side,North Side
153,TAXICAB,Transportation,1,ROGERS PARK,Far North Side,North Side
157,VACANT LOT/LAND,Outside,1,ROGERS PARK,Far North Side,North Side
158,VEHICLE NON-COMMERCIAL,Transportation,1,ROGERS PARK,Far North Side,North Side
159,VEHICLE-COMMERCIAL,Transportation,1,ROGERS PARK,Far North Side,North Side
162,VEHICLE-DELIVERY TRUCK,Transportation,1,ROGERS PARK,Far North Side,North Side
163,VEHICLE-OTHER RIDE SERVICE,Transportation,1,ROGERS PARK,Far North Side,North Side
164,"VEHICLE-OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",Transportation,1,ROGERS PARK,Far North Side,North Side
166,WAREHOUSE,Business,1,ROGERS PARK,Far North Side,North Side
170,ABANDONED BUILDING,Building,2,WEST RIDGE,Far North Side,North Side
171,AIRCRAFT,Air Travel,2,WEST RIDGE,Far North Side,North Side
186,ALLEY,Outside,2,WEST RIDGE,Far North Side,North Side
187,ANIMAL HOSPITAL,Business,2,WEST RIDGE,Far North Side,North Side
188,APARTMENT,Apartment,2,WEST RIDGE,Far North Side,North Side
189,APPLIANCE STORE,Business,2,WEST RIDGE,Far North Side,North Side
190,ATHLETIC CLUB,Business,2,WEST RIDGE,Far North Side,North Side
191,ATM (AUTOMATIC TELLER MACHINE),Outside,2,WEST RIDGE,Far North Side,North Side
192,AUTO,Transportation,2,WEST RIDGE,Far North Side,North Side
193,AUTO/BOAT/RV DEALERSHIP,Business,2,WEST RIDGE,Far North Side,North Side
194,BANK,Business,2,WEST RIDGE,Far North Side,North Side
196,BAR OR TAVERN,Business,2,WEST RIDGE,Far North Side,North Side
197,BARBERSHOP,Business,2,WEST RIDGE,Far North Side,North Side
203,BRIDGE,Outside,2,WEST RIDGE,Far North Side,North Side
204,CAR WASH,Business,2,WEST RIDGE,Far North Side,North Side
205,CEMETARY,Outside,2,WEST RIDGE,Far North Side,North Side
206,CHA APARTMENT,Apartment,2,WEST RIDGE,Far North Side,North Side
210,CHA HALLWAY/STAIRWELL/ELEVATOR,Building,2,WEST RIDGE,Far North Side,North Side
213,CHA PARKING LOT/GROUNDS,Outside,2,WEST RIDGE,Far North Side,North Side
217,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Business,2,WEST RIDGE,Far North Side,North Side
219,CLEANING STORE,Business,2,WEST RIDGE,Far North Side,North Side
221,COIN OPERATED MACHINE,Business,2,WEST RIDGE,Far North Side,North Side
222,COLLEGE/UNIVERSITY GROUNDS,Outside,2,WEST RIDGE,Far North Side,North Side
224,COMMERCIAL/BUSINESS OFFICE,Business,2,WEST RIDGE,Far North Side,North Side
225,CONSTRUCTION SITE,Business,2,WEST RIDGE,Far North Side,North Side
226,CONVENIENCE STORE,Business,2,WEST RIDGE,Far North Side,North Side
227,CREDIT UNION,Business,2,WEST RIDGE,Far North Side,North Side
230,CTA BUS,Transportation,2,WEST RIDGE,Far North Side,North Side
231,CTA BUS STOP,Transportation,2,WEST RIDGE,Far North Side,North Side
232,CTA GARAGE/OTHER PROPERTY,Transportation,2,WEST RIDGE,Far North Side,North Side
233,CTA PARKING LOT/GARAGE/OTHER PROPERTY,Transportation,2,WEST RIDGE,Far North Side,North Side
239,CTA TRAIN,Transportation,2,WEST RIDGE,Far North Side,North Side
240,CURRENCY EXCHANGE,Business,2,WEST RIDGE,Far North Side,North Side
241,DAY CARE CENTER,Business,2,WEST RIDGE,Far North Side,North Side
243,DEPARTMENT STORE,Business,2,WEST RIDGE,Far North Side,North Side
245,DRIVEWAY-RESIDENTIAL,Outside,2,WEST RIDGE,Far North Side,North Side
246,DRUG STORE,Business,2,WEST RIDGE,Far North Side,North Side
249,FACTORY/MANUFACTURING BUILDING,Business,2,WEST RIDGE,Far North Side,North Side
252,FIRE STATION,Business,2,WEST RIDGE,Far North Side,North Side
257,GAS STATION,Business,2,WEST RIDGE,Far North Side,North Side
260,GOVERNMENT BUILDING/PROPERTY,Business,2,WEST RIDGE,Far North Side,North Side
261,GROCERY FOOD STORE,Business,2,WEST RIDGE,Far North Side,North Side
262,HALLWAY,Apartment,2,WEST RIDGE,Far North Side,North Side
263,HIGHWAY/EXPRESSWAY,Transportation,2,WEST RIDGE,Far North Side,North Side
266,HOSPITAL BUILDING/GROUNDS,Business,2,WEST RIDGE,Far North Side,North Side
268,HOTEL/MOTEL,Business,2,WEST RIDGE,Far North Side,North Side
269,HOUSE,Residence,2,WEST RIDGE,Far North Side,North Side
276,LIBRARY,Business,2,WEST RIDGE,Far North Side,North Side
278,MEDICAL/DENTAL OFFICE,Business,2,WEST RIDGE,Far North Side,North Side
281,NEWSSTAND,Outside,2,WEST RIDGE,Far North Side,North Side
283,NURSING HOME/RETIREMENT HOME,Business,2,WEST RIDGE,Far North Side,North Side
284,Not Specified,Not Specified,2,WEST RIDGE,Far North Side,North Side
286,OTHER,Other,2,WEST RIDGE,Far North Side,North Side
287,OTHER (SPECIFY),Other,2,WEST RIDGE,Far North Side,North Side
288,OTHER COMMERCIAL TRANSPORTATION,Transportation,2,WEST RIDGE,Far North Side,North Side
289,OTHER RAILROAD PROPERTY/TRAIN DEPOT,Transportation,2,WEST RIDGE,Far North Side,North Side
290,PARK PROPERTY,Outside,2,WEST RIDGE,Far North Side,North Side
291,PARKING LOT,Outside,2,WEST RIDGE,Far North Side,North Side
292,PARKING LOT/GARAGE (NON RESIDENTIAL),Outside,2,WEST RIDGE,Far North Side,North Side
293,PAWN SHOP,Business,2,WEST RIDGE,Far North Side,North Side
295,POLICE FACILITY/VEHICLE PARKING LOT,Business,2,WEST RIDGE,Far North Side,North Side
296,POOLROOM,Business,2,WEST RIDGE,Far North Side,North Side
300,RESIDENCE,Residence,2,WEST RIDGE,Far North Side,North Side
301,RESIDENCE-GARAGE,Residence,2,WEST RIDGE,Far North Side,North Side
302,RESIDENCE-PORCH/HALLWAY,Residence,2,WEST RIDGE,Far North Side,North Side
303,RESIDENCE-YARD (FRONT/BACK),Residence,2,WEST RIDGE,Far North Side,North Side
304,RESTAURANT,Business,2,WEST RIDGE,Far North Side,North Side
305,RETAIL STORE,Business,2,WEST RIDGE,Far North Side,North Side
307,ROOF,Building,2,WEST RIDGE,Far North Side,North Side
308,ROOMING HOUSE,Apartment,2,WEST RIDGE,Far North Side,North Side
309,SAVINGS AND LOAN,Business,2,WEST RIDGE,Far North Side,North Side
311,SCHOOL-PRIVATE BUILDING,Business,2,WEST RIDGE,Far North Side,North Side
312,SCHOOL-PRIVATE GROUNDS,Outside,2,WEST RIDGE,Far North Side,North Side
313,SCHOOL-PUBLIC BUILDING,Business,2,WEST RIDGE,Far North Side,North Side
314,SCHOOL-PUBLIC GROUNDS,Outside,2,WEST RIDGE,Far North Side,North Side
315,SIDEWALK,Outside,2,WEST RIDGE,Far North Side,North Side
316,SMALL RETAIL STORE,Business,2,WEST RIDGE,Far North Side,North Side
317,SPORTS ARENA/STADIUM,Business,2,WEST RIDGE,Far North Side,North Side
318,STAIRWELL,Apartment,2,WEST RIDGE,Far North Side,North Side
319,STREET,Street,2,WEST RIDGE,Far North Side,North Side
321,TAVERN/LIQUOR STORE,Business,2,WEST RIDGE,Far North Side,North Side
322,TAXICAB,Transportation,2,WEST RIDGE,Far North Side,North Side
326,VACANT LOT/LAND,Outside,2,WEST RIDGE,Far North Side,North Side
327,VEHICLE NON-COMMERCIAL,Transportation,2,WEST RIDGE,Far North Side,North Side
328,VEHICLE-COMMERCIAL,Transportation,2,WEST RIDGE,Far North Side,North Side
330,VEHICLE-COMMERCIAL-TROLLEY BUS,Transportation,2,WEST RIDGE,Far North Side,North Side
331,VEHICLE-DELIVERY TRUCK,Transportation,2,WEST RIDGE,Far North Side,North Side
332,VEHICLE-OTHER RIDE SERVICE,Transportation,2,WEST RIDGE,Far North Side,North Side
333,"VEHICLE-OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",Transportation,2,WEST RIDGE,Far North Side,North Side
335,WAREHOUSE,Business,2,WEST RIDGE,Far North Side,North Side
339,ABANDONED BUILDING,Building,3,UPTOWN,Far North Side,North Side
342,AIRPORT BUILDING NON-TERMINAL-SECURE AREA,Air Travel,3,UPTOWN,Far North Side,North Side
347,AIRPORT TERMINAL LOWER LEVEL-SECURE AREA,Air Travel,3,UPTOWN,Far North Side,North Side
353,AIRPORT VENDING ESTABLISHMENT,Air Travel,3,UPTOWN,Far North Side,North Side
355,ALLEY,Outside,3,UPTOWN,Far North Side,North Side
356,ANIMAL HOSPITAL,Business,3,UPTOWN,Far North Side,North Side
357,APARTMENT,Apartment,3,UPTOWN,Far North Side,North Side
358,APPLIANCE STORE,Business,3,UPTOWN,Far North Side,North Side
359,ATHLETIC CLUB,Business,3,UPTOWN,Far North Side,North Side
360,ATM (AUTOMATIC TELLER MACHINE),Outside,3,UPTOWN,Far North Side,North Side
361,AUTO,Transportation,3,UPTOWN,Far North Side,North Side
362,AUTO/BOAT/RV DEALERSHIP,Business,3,UPTOWN,Far North Side,North Side
363,BANK,Business,3,UPTOWN,Far North Side,North Side
365,BAR OR TAVERN,Business,3,UPTOWN,Far North Side,North Side
366,BARBERSHOP,Business,3,UPTOWN,Far North Side,North Side
370,BOAT/WATERCRAFT,Transportation,3,UPTOWN,Far North Side,North Side
372,BRIDGE,Outside,3,UPTOWN,Far North Side,North Side
373,CAR WASH,Business,3,UPTOWN,Far North Side,North Side
374,CEMETARY,Outside,3,UPTOWN,Far North Side,North Side
375,CHA APARTMENT,Apartment,3,UPTOWN,Far North Side,North Side
379,CHA HALLWAY/STAIRWELL/ELEVATOR,Building,3,UPTOWN,Far North Side,North Side
382,CHA PARKING LOT/GROUNDS,Outside,3,UPTOWN,Far North Side,North Side
386,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Business,3,UPTOWN,Far North Side,North Side
388,CLEANING STORE,Business,3,UPTOWN,Far North Side,North Side
390,COIN OPERATED MACHINE,Business,3,UPTOWN,Far North Side,North Side
391,COLLEGE/UNIVERSITY GROUNDS,Outside,3,UPTOWN,Far North Side,North Side
392,COLLEGE/UNIVERSITY RESIDENCE HALL,Apartment,3,UPTOWN,Far North Side,North Side
393,COMMERCIAL/BUSINESS OFFICE,Business,3,UPTOWN,Far North Side,North Side
394,CONSTRUCTION SITE,Business,3,UPTOWN,Far North Side,North Side
395,CONVENIENCE STORE,Business,3,UPTOWN,Far North Side,North Side
396,CREDIT UNION,Business,3,UPTOWN,Far North Side,North Side
399,CTA BUS,Transportation,3,UPTOWN,Far North Side,North Side
400,CTA BUS STOP,Transportation,3,UPTOWN,Far North Side,North Side
401,CTA GARAGE/OTHER PROPERTY,Transportation,3,UPTOWN,Far North Side,North Side
402,CTA PARKING LOT/GARAGE/OTHER PROPERTY,Transportation,3,UPTOWN,Far North Side,North Side
403,CTA PLATFORM,Transportation,3,UPTOWN,Far North Side,North Side
405,CTA STATION,Transportation,3,UPTOWN,Far North Side,North Side
407,CTA TRACKS-RIGHT OF WAY,Transportation,3,UPTOWN,Far North Side,North Side
408,CTA TRAIN,Transportation,3,UPTOWN,Far North Side,North Side
409,CURRENCY EXCHANGE,Business,3,UPTOWN,Far North Side,North Side
410,DAY CARE CENTER,Business,3,UPTOWN,Far North Side,North Side
411,DELIVERY TRUCK,Transportation,3,UPTOWN,Far North Side,North Side
412,DEPARTMENT STORE,Business,3,UPTOWN,Far North Side,North Side
414,DRIVEWAY-RESIDENTIAL,Outside,3,UPTOWN,Far North Side,North Side
415,DRUG STORE,Business,3,UPTOWN,Far North Side,North Side
418,FACTORY/MANUFACTURING BUILDING,Business,3,UPTOWN,Far North Side,North Side
420,FEDERAL BUILDING,Business,3,UPTOWN,Far North Side,North Side
421,FIRE STATION,Business,3,UPTOWN,Far North Side,North Side
422,FOREST PRESERVE,Outside,3,UPTOWN,Far North Side,North Side
426,GAS STATION,Business,3,UPTOWN,Far North Side,North Side
429,GOVERNMENT BUILDING/PROPERTY,Business,3,UPTOWN,Far North Side,North Side
430,GROCERY FOOD STORE,Business,3,UPTOWN,Far North Side,North Side
432,HIGHWAY/EXPRESSWAY,Transportation,3,UPTOWN,Far North Side,North Side
435,HOSPITAL BUILDING/GROUNDS,Business,3,UPTOWN,Far North Side,North Side
437,HOTEL/MOTEL,Business,3,UPTOWN,Far North Side,North Side
438,HOUSE,Residence,3,UPTOWN,Far North Side,North Side
440,KENNEL,Outside,3,UPTOWN,Far North Side,North Side
443,LAKEFRONT/WATERFRONT/RIVERBANK,Outside,3,UPTOWN,Far North Side,North Side
445,LIBRARY,Business,3,UPTOWN,Far North Side,North Side
447,MEDICAL/DENTAL OFFICE,Business,3,UPTOWN,Far North Side,North Side
449,MOVIE HOUSE/THEATER,Business,3,UPTOWN,Far North Side,North Side
450,NEWSSTAND,Outside,3,UPTOWN,Far North Side,North Side
452,NURSING HOME/RETIREMENT HOME,Business,3,UPTOWN,Far North Side,North Side
453,Not Specified,Not Specified,3,UPTOWN,Far North Side,North Side
455,OTHER,Other,3,UPTOWN,Far North Side,North Side
456,OTHER (SPECIFY),Other,3,UPTOWN,Far North Side,North Side
457,OTHER COMMERCIAL TRANSPORTATION,Transportation,3,UPTOWN,Far North Side,North Side
458,OTHER RAILROAD PROPERTY/TRAIN DEPOT,Transportation,3,UPTOWN,Far North Side,North Side
459,PARK PROPERTY,Outside,3,UPTOWN,Far North Side,North Side
461,PARKING LOT/GARAGE (NON RESIDENTIAL),Outside,3,UPTOWN,Far North Side,North Side
462,PAWN SHOP,Business,3,UPTOWN,Far North Side,North Side
464,POLICE FACILITY/VEHICLE PARKING LOT,Business,3,UPTOWN,Far North Side,North Side
465,POOLROOM,Business,3,UPTOWN,Far North Side,North Side
469,RESIDENCE,Residence,3,UPTOWN,Far North Side,North Side
470,RESIDENCE-GARAGE,Residence,3,UPTOWN,Far North Side,North Side
471,RESIDENCE-PORCH/HALLWAY,Residence,3,UPTOWN,Far North Side,North Side
472,RESIDENCE-YARD (FRONT/BACK),Residence,3,UPTOWN,Far North Side,North Side
473,RESTAURANT,Business,3,UPTOWN,Far North Side,North Side
474,RETAIL STORE,Business,3,UPTOWN,Far North Side,North Side
480,SCHOOL-PRIVATE BUILDING,Business,3,UPTOWN,Far North Side,North Side
481,SCHOOL-PRIVATE GROUNDS,Outside,3,UPTOWN,Far North Side,North Side
482,SCHOOL-PUBLIC BUILDING,Business,3,UPTOWN,Far North Side,North Side
483,SCHOOL-PUBLIC GROUNDS,Outside,3,UPTOWN,Far North Side,North Side
484,SIDEWALK,Outside,3,UPTOWN,Far North Side,North Side
485,SMALL RETAIL STORE,Business,3,UPTOWN,Far North Side,North Side
486,SPORTS ARENA/STADIUM,Business,3,UPTOWN,Far North Side,North Side
488,STREET,Street,3,UPTOWN,Far North Side,North Side
489,TAVERN,Business,3,UPTOWN,Far North Side,North Side
490,TAVERN/LIQUOR STORE,Business,3,UPTOWN,Far North Side,North Side
491,TAXICAB,Transportation,3,UPTOWN,Far North Side,North Side
495,VACANT LOT/LAND,Outside,3,UPTOWN,Far North Side,North Side
496,VEHICLE NON-COMMERCIAL,Transportation,3,UPTOWN,Far North Side,North Side
497,VEHICLE-COMMERCIAL,Transportation,3,UPTOWN,Far North Side,North Side
499,VEHICLE-COMMERCIAL-TROLLEY BUS,Transportation,3,UPTOWN,Far North Side,North Side
500,VEHICLE-DELIVERY TRUCK,Transportation,3,UPTOWN,Far North Side,North Side
501,VEHICLE-OTHER RIDE SERVICE,Transportation,3,UPTOWN,Far North Side,North Side
502,"VEHICLE-OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",Transportation,3,UPTOWN,Far North Side,North Side
504,WAREHOUSE,Business,3,UPTOWN,Far North Side,North Side
506,YARD,Outside,3,UPTOWN,Far North Side,North Side
508,ABANDONED BUILDING,Building,4,LINCOLN SQUARE,Far North Side,North Side
524,ALLEY,Outside,4,LINCOLN SQUARE,Far North Side,North Side
525,ANIMAL HOSPITAL,Business,4,LINCOLN SQUARE,Far North Side,North Side
526,APARTMENT,Apartment,4,LINCOLN SQUARE,Far North Side,North Side
527,APPLIANCE STORE,Business,4,LINCOLN SQUARE,Far North Side,North Side
528,ATHLETIC CLUB,Business,4,LINCOLN SQUARE,Far North Side,North Side
529,ATM (AUTOMATIC TELLER MACHINE),Outside,4,LINCOLN SQUARE,Far North Side,North Side
530,AUTO,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
531,AUTO/BOAT/RV DEALERSHIP,Business,4,LINCOLN SQUARE,Far North Side,North Side
532,BANK,Business,4,LINCOLN SQUARE,Far North Side,North Side
534,BAR OR TAVERN,Business,4,LINCOLN SQUARE,Far North Side,North Side
535,BARBERSHOP,Business,4,LINCOLN SQUARE,Far North Side,North Side
540,BOWLING ALLEY,Business,4,LINCOLN SQUARE,Far North Side,North Side
541,BRIDGE,Outside,4,LINCOLN SQUARE,Far North Side,North Side
542,CAR WASH,Business,4,LINCOLN SQUARE,Far North Side,North Side
543,CEMETARY,Outside,4,LINCOLN SQUARE,Far North Side,North Side
544,CHA APARTMENT,Apartment,4,LINCOLN SQUARE,Far North Side,North Side
548,CHA HALLWAY/STAIRWELL/ELEVATOR,Building,4,LINCOLN SQUARE,Far North Side,North Side
551,CHA PARKING LOT/GROUNDS,Outside,4,LINCOLN SQUARE,Far North Side,North Side
555,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Business,4,LINCOLN SQUARE,Far North Side,North Side
557,CLEANING STORE,Business,4,LINCOLN SQUARE,Far North Side,North Side
559,COIN OPERATED MACHINE,Business,4,LINCOLN SQUARE,Far North Side,North Side
560,COLLEGE/UNIVERSITY GROUNDS,Outside,4,LINCOLN SQUARE,Far North Side,North Side
562,COMMERCIAL/BUSINESS OFFICE,Business,4,LINCOLN SQUARE,Far North Side,North Side
563,CONSTRUCTION SITE,Business,4,LINCOLN SQUARE,Far North Side,North Side
564,CONVENIENCE STORE,Business,4,LINCOLN SQUARE,Far North Side,North Side
568,CTA BUS,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
569,CTA BUS STOP,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
570,CTA GARAGE/OTHER PROPERTY,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
571,CTA PARKING LOT/GARAGE/OTHER PROPERTY,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
572,CTA PLATFORM,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
574,CTA STATION,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
576,CTA TRACKS-RIGHT OF WAY,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
577,CTA TRAIN,Transportation,4,LINCOLN SQUARE,Far North Side,North Side
578,CURRENCY EXCHANGE,Business,4,LINCOLN SQUARE,Far North Side,North Side
579,DAY CARE CENTER,Business,4,LINCOLN SQUARE,Far North Side,North Side
581,DEPARTMENT STORE,Business,4,LINCOLN SQUARE,Far North Side,North Side
583,DRIVEWAY-RESIDENTIAL,Outside,4,LINCOLN SQUARE,Far North Side,North Side
584,DRUG STORE,Business,4,LINCOLN SQUARE,Far North Side,North Side
587,FACTORY/MANUFACTURING BUILDING,Business,4,LINCOLN SQUARE,Far North Side,North Side
589,FEDERAL BUILDING,Business,4,LINCOLN SQUARE,Far North Side,North Side
590,FIRE STATION,Business,4,LINCOLN SQUARE,Far North Side,North Side
595,GAS STATION,Business,4,LINCOLN SQUARE,Far North Side,North Side
598,GOVERNMENT BUILDING/PROPERTY,Business,4,LINCOLN SQUARE,Far North Side,North Side
599,GROCERY FOOD STORE,Business,4,LINCOLN SQUARE,Far North Side,North Side
604,HOSPITAL BUILDING/GROUNDS,Business,4,LINCOLN SQUARE,Far North Side,North Side
605,HOTEL,Business,4,LINCOLN SQUARE,Far North Side,North Side
606,HOTEL/MOTEL,Business,4,LINCOLN SQUARE,Far North Side,North Side
607,HOUSE,Residence,4,LINCOLN SQUARE,Far North Side,North Side
608,JAIL/LOCK-UP FACILITY,Business,4,LINCOLN SQUARE,Far North Side,North Side
609,KENNEL,Outside,4,LINCOLN SQUARE,Far North Side,North Side
612,LAKEFRONT/WATERFRONT/RIVERBANK,Outside,4,LINCOLN SQUARE,Far North Side,North Side
614,LIBRARY,Business,4,LINCOLN SQUARE,Far North Side,North Side
616,MEDICAL/DENTAL OFFICE,Business,4,LINCOLN SQUARE,Far North Side,North Side
617,MOTEL,Business,4,LINCOLN SQUARE,Far North Side,North Side
618,MOVIE HOUSE/THEATER,Business,4,LINCOLN SQUARE,Far North Side,North Side
621,NURSING HOME/RETIREMENT HOME,Business,4,LINCOLN SQUARE,Far North Side,North Side
622,Not Specified,Not Specified,4,LINCOLN SQUARE,Far North Side,North Side
624,OTHER,Other,4,LINCOLN SQUARE,Far North Side,North Side
625,OTHER (SPECIFY),Other,4,LINCOLN SQUARE,Far North Side,North Side
